CreateDate,05/21/2025,,,
Mode,B-Mode,,,
Point,X-Position,X-Speed,Y-Position,Y-Speed
136,-12.5,0,170.62,151.6553350061
137,-12.5,0,172.62,152.682516354736
138,-12.5,0,174.62,153.73732818197
139,-12.5,0,176.62,180.474563593584
140,-12.5,0,178.62,181.601270222567
141,-12.5,0,180.62,182.747375930128
142,-12.5,0,182.62,183.910668394731
143,-12.5,0,184.62,185.089031841487
144,-12.5,0,186.62,186.28044992031
145,-12.5,0,188.62,180.802472609927
146,-12.5,0,190.62,180.758134240647
147,-12.5,0,192.62,180.957737931709
148,-12.5,0,194.62,181.340745892495
149,-12.5,0,196.62,181.687161829703
150,-12.5,0,198.62,181.994302186692
151,-12.5,0,200.62,182.259801784458
152,-12.5,0,202.62,183.502361149877
153,-12.5,0,204.62,184.745468843849
154,-12.5,0,206.62,185.988055081271
155,-11.5,100,206.62,0
156,-11.5,0,204.62,184.128157650145
157,-11.5,0,202.62,182.867675260047
158,-11.5,0,200.62,181.607321399213
159,-11.5,0,198.62,180.836301157918
160,-11.5,0,196.62,180.53277563055
161,-11.5,0,194.62,180.188935896272
162,-11.5,0,192.62,179.80736748214
163,-11.5,0,190.62,179.499289420142
164,-11.5,0,188.62,178.776267461304
165,-11.5,0,186.62,182.752913234989
166,-11.5,0,184.62,184.278630228444
167,-11.5,0,182.62,183.078596377165
168,-11.5,0,180.62,181.893412757849
169,-11.5,0,178.62,180.725244428656
170,-11.5,0,176.62,179.576358939448
171,-11.5,0,174.62,164.615056827946
172,-11.5,0,172.62,151.764060816716
173,-11.5,0,170.62,150.716867472262
174,-11.5,0,168.62,149.699828864667
175,-11.5,0,166.62,138.154029988638
176,-11.5,0,164.62,127.973517574072
177,-11.5,0,162.62,114.869607259539
178,-11.5,0,160.62,104.083029115161
179,-11.5,0,158.62,103.378866812923
180,-11.5,0,156.62,99.6188698440541
181,-11.5,0,154.62,96.1169697726683
182,-11.5,0,152.62,85.0652427396049
183,-11.5,0,150.62,80.1245883341318
184,-11.5,0,148.62,79.7074306365732
185,-11.5,0,146.62,79.331945619405
186,-11.5,0,144.62,78.9992557303754
187,-11.5,0,142.62,78.7103778590644
188,-11.5,0,140.62,79.0366429343156
189,-11.5,0,138.62,79.5479511966918
190,-11.5,0,136.62,80.0427699088262
191,-11.5,0,134.62,80.5200468787163
192,-11.5,0,132.62,80.9754476538478
193,-11.5,0,130.62,76.399510430558
194,-11.5,0,128.62,70.9171133300319
195,-11.5,0,126.62,66.1461501181309
196,-11.5,0,124.62,61.9527342780023
197,-11.5,0,122.62,59.1653002138691
198,-11.5,0,120.62,59.3438577691322
199,-11.5,0,118.62,59.5588730222234
200,-11.5,0,116.62,59.8097195294913
201,-11.5,0,114.62,62.2850576698578
202,-11.5,0,112.62,64.9725803385898
203,-11.5,0,110.62,70.5549479931725
204,-11.5,0,108.62,73.8721922712325
205,-11.5,0,106.62,80.6679033552755
206,-11.5,0,104.62,81.2175685617799
207,-11.5,0,102.62,81.802676349546
