# 迭代步,旋转角度(度),总误差
696,-38.994474,10.374809
697,-36.439400,2.527204
698,42.631540,0.266798
699,-3.462890,0.469213
700,-50.482336,0.148364
701,6.507704,0.833772
702,-42.596508,1.040733
703,-35.058087,0.102956
704,-14.081528,2.588853
705,-59.986373,0.342460
706,-51.221111,6.517210
707,-35.374542,0.098124
708,1.851620,0.063143
709,4.837655,2.146729
710,-44.148828,0.074489
711,-2.069835,17.387768
712,-37.301005,0.095049
713,-44.633664,0.121256
714,44.870957,1.476876
715,59.013078,0.076867
716,-26.901057,0.954940
717,-55.360102,0.713583
718,-53.778715,0.050033
719,-12.334535,1.387842
720,-59.402354,10.997765
721,-47.278023,0.072892
722,-20.069626,0.105500
723,20.498820,0.734119
724,-20.793527,1.153602
725,-43.831981,0.080815
726,-13.263064,1.466202
727,-15.650502,3.588253
728,0.196972,0.209353
729,1.457671,1.429468
730,30.665634,10.432248
731,-4.827397,5.549418
732,44.041436,2.629763
733,-59.776426,0.196703
734,1.020495,0.121029
735,-35.058087,0.302745
736,0.662119,0.185860
737,-12.257439,0.075913
738,-40.645233,0.074944
739,-24.064542,1.677754
740,-8.862182,2.586326
741,13.347474,0.445955
742,-46.703053,0.188507
743,-45.091486,0.408206
744,55.792948,3.432087
745,-43.005374,0.125240
746,22.331264,0.087022
747,-58.918680,1.897014
748,58.191493,0.120917
749,13.251506,0.904856
750,-42.622719,0.931130
751,-9.202826,0.315559
752,11.455089,0.600281
753,-48.439458,0.072262
754,5.537009,0.087036
755,22.850709,0.952505
756,-54.181928,0.150772
757,-19.594475,0.655199
758,-47.941766,0.098831
759,-37.130194,0.059113
760,33.949047,2.009855
761,-28.500486,0.293221
762,-46.704972,0.059910
763,-55.289809,0.262880
764,-8.514793,0.201800
765,-19.877956,0.978793
766,-15.170601,0.069870
767,59.283114,0.051985
768,-35.067531,0.067398
769,-59.166902,0.108640
770,-44.521126,0.243310
771,0.084594,0.479936
772,5.257239,0.112281
773,53.617255,0.518617
774,-33.385445,3.820531
775,-54.101292,0.269946
776,7.426541,0.118631
777,0.823317,0.584517
778,-40.895880,0.510930
779,9.377566,0.239454
780,-13.669050,0.271126
781,-56.285305,0.051423
782,-21.347966,2.768964
783,-57.621235,0.092407
784,-36.660106,0.118789
785,-48.090038,0.389936
786,-40.452301,0.085698
787,17.485988,0.063610
788,-29.194979,0.087285
789,2.421489,0.280209
790,-45.442129,0.594180
791,-48.397467,0.553782
792,58.271848,0.084951
793,-58.026779,0.065534
794,-47.704776,1.590726
795,-34.894953,0.204681
796,-46.762232,0.065208
797,-41.003321,0.388200
798,0.209576,0.063749
799,-59.016355,0.078949
800,3.598529,1.321369
801,-30.356001,0.165382
802,-51.221111,2.740238
803,36.894439,0.367041
804,15.601546,0.305198
805,4.837655,0.249852
806,-21.386257,0.077750
807,-30.732991,0.084584
808,-37.301005,3.201684
809,-37.523605,0.082451
810,33.652673,0.500585
811,-10.479037,0.125981
812,45.675636,0.298906
813,19.794812,4.620286
814,-43.375013,0.224687
815,-49.397461,0.379113
816,29.268717,2.988830
817,5.313605,0.120351
818,17.624782,0.070159
819,-41.719343,0.296317
820,-39.790365,0.336335
821,-43.831981,1.980155
822,-13.263064,2.617584
823,-31.368421,7.345153
824,6.644409,0.087515
825,48.690293,1.117777
826,-17.234113,2.173684
827,-29.068142,0.285998
828,44.041436,0.126677
829,5.393269,0.491565
830,-14.958035,0.941304
831,-10.719484,0.106717
832,-52.110395,0.111274
833,-35.419018,0.451216
834,-40.645233,0.048467
835,17.014480,1.456966
836,-8.862182,0.096923
837,-36.883856,0.140583
838,-46.703053,0.105385
839,59.510306,0.060051
840,-33.087195,0.105623
841,14.178715,0.101163
842,37.429365,0.420386
843,12.323271,0.111637
844,1.268475,0.064908
845,-39.577533,0.165904
846,-39.986998,0.465884
847,-41.009994,0.112209
848,-35.069301,0.435236
849,-53.858857,0.101921
850,23.973001,3.770450
851,-41.571418,0.081204
852,-1.272145,0.072957
