X(mm),Y(mm),Velocity(mm/s)
0.503,76.981,500.000000
1.509,76.981,500.000000
2.516,76.981,500.000000
3.522,76.981,500.000000
4.528,76.981,500.000000
5.535,76.981,500.000000
6.541,76.981,500.000000
7.547,76.981,500.000000
8.553,76.981,500.000000
9.560,76.981,500.000000
10.566,76.981,500.000000
11.572,76.981,500.000000
12.579,76.981,500.000000
13.585,76.981,500.000000
14.591,76.981,500.000000
15.597,76.981,500.000000
16.604,76.981,500.000000
17.610,76.981,500.000000
18.616,76.981,500.000000
19.623,76.981,500.000000
20.629,76.981,500.000000
21.635,76.981,500.000000
22.642,76.981,500.000000
23.648,76.981,500.000000
24.654,76.981,500.000000
25.660,76.981,500.000000
26.667,76.981,500.000000
27.673,76.981,500.000000
28.679,76.981,500.000000
29.686,76.981,500.000000
30.692,76.981,500.000000
31.698,76.981,500.000000
32.704,76.981,500.000000
33.711,76.981,500.000000
34.717,76.981,500.000000
35.723,76.981,500.000000
36.730,76.981,500.000000
37.736,76.981,500.000000
38.742,76.981,500.000000
39.748,76.981,500.000000
40.755,76.981,500.000000
41.761,76.981,500.000000
42.767,76.981,500.000000
43.774,76.981,500.000000
44.780,76.981,500.000000
45.786,76.981,500.000000
46.792,76.981,500.000000
47.799,76.981,500.000000
48.805,76.981,500.000000
49.811,76.981,500.000000
50.818,76.981,500.000000
51.824,76.981,500.000000
52.830,76.981,500.000000
53.836,76.981,500.000000
54.843,76.981,500.000000
55.849,76.981,500.000000
56.855,76.981,500.000000
57.862,76.981,500.000000
58.868,76.981,500.000000
59.874,76.981,500.000000
60.881,76.981,500.000000
61.887,76.981,500.000000
62.893,76.981,500.000000
63.899,76.981,500.000000
64.906,76.981,500.000000
65.912,76.981,500.000000
66.918,76.981,500.000000
67.925,76.981,500.000000
68.931,76.981,500.000000
69.937,76.981,500.000000
70.943,76.981,500.000000
71.950,76.981,500.000000
72.956,76.981,500.000000
73.962,76.981,500.000000
74.969,76.981,500.000000
75.975,76.981,500.000000
76.981,76.981,500.000000
77.987,76.981,500.000000
78.994,76.981,500.000000
80.000,76.981,500.000000
-80.000,75.975,500.000000
-78.994,75.975,500.000000
-77.987,75.975,500.000000
-76.981,75.975,500.000000
-75.975,75.975,500.000000
-74.969,75.975,500.000000
-73.962,75.975,500.000000
-72.956,75.975,500.000000
-71.950,75.975,500.000000
-70.943,75.975,500.000000
-69.937,75.975,500.000000
-68.931,75.975,500.000000
-67.925,75.975,500.000000
-66.918,75.975,500.000000
-65.912,75.975,500.000000
-64.906,75.975,500.000000
-63.899,75.975,500.000000
-62.893,75.975,500.000000
-61.887,75.975,500.000000
-60.881,75.975,500.000000
-59.874,75.975,500.000000
-58.868,75.975,500.000000
-57.862,75.975,500.000000
-56.855,75.975,500.000000
-55.849,75.975,500.000000
-54.843,75.975,500.000000
-53.836,75.975,500.000000
-52.830,75.975,500.000000
-51.824,75.975,500.000000
-50.818,75.975,500.000000
-49.811,75.975,500.000000
-48.805,75.975,500.000000
-47.799,75.975,500.000000
-46.792,75.975,500.000000
-45.786,75.975,500.000000
-44.780,75.975,500.000000
-43.774,75.975,500.000000
-42.767,75.975,500.000000
-41.761,75.975,500.000000
-40.755,75.975,500.000000
-39.748,75.975,500.000000
-38.742,75.975,500.000000
-37.736,75.975,500.000000
-36.730,75.975,500.000000
-35.723,75.975,500.000000
-34.717,75.975,500.000000
-33.711,75.975,500.000000
-32.704,75.975,500.000000
-31.698,75.975,500.000000
-30.692,75.975,500.000000
-29.686,75.975,500.000000
-28.679,75.975,500.000000
-27.673,75.975,500.000000
-26.667,75.975,500.000000
-25.660,75.975,500.000000
-24.654,75.975,500.000000
-23.648,75.975,500.000000
-22.642,75.975,500.000000
-21.635,75.975,500.000000
-20.629,75.975,500.000000
-19.623,75.975,500.000000
-18.616,75.975,500.000000
-17.610,75.975,500.000000
-16.604,75.975,500.000000
-15.597,75.975,500.000000
-14.591,75.975,500.000000
-13.585,75.975,500.000000
-12.579,75.975,500.000000
-11.572,75.975,500.000000
-10.566,75.975,500.000000
-9.560,75.975,500.000000
-8.553,75.975,500.000000
-7.547,75.975,500.000000
-6.541,75.975,500.000000
-5.535,75.975,500.000000
-4.528,75.975,500.000000
-3.522,75.975,500.000000
-2.516,75.975,500.000000
-1.509,75.975,10.561741
-0.503,75.975,10.570187
0.503,75.975,10.580671
1.509,75.975,10.593200
2.516,75.975,500.000000
3.522,75.975,500.000000
4.528,75.975,500.000000
5.535,75.975,500.000000
6.541,75.975,500.000000
7.547,75.975,500.000000
8.553,75.975,500.000000
9.560,75.975,500.000000
10.566,75.975,500.000000
11.572,75.975,500.000000
12.579,75.975,500.000000
13.585,75.975,500.000000
14.591,75.975,500.000000
15.597,75.975,500.000000
16.604,75.975,500.000000
17.610,75.975,500.000000
18.616,75.975,500.000000
19.623,75.975,500.000000
20.629,75.975,500.000000
21.635,75.975,500.000000
22.642,75.975,500.000000
23.648,75.975,500.000000
24.654,75.975,500.000000
25.660,75.975,500.000000
26.667,75.975,500.000000
27.673,75.975,500.000000
28.679,75.975,500.000000
29.686,75.975,500.000000
30.692,75.975,500.000000
31.698,75.975,500.000000
32.704,75.975,500.000000
33.711,75.975,500.000000
34.717,75.975,500.000000
35.723,75.975,500.000000
36.730,75.975,500.000000
37.736,75.975,500.000000
38.742,75.975,500.000000
39.748,75.975,500.000000
40.755,75.975,500.000000
41.761,75.975,500.000000
42.767,75.975,500.000000
43.774,75.975,500.000000
44.780,75.975,500.000000
45.786,75.975,500.000000
46.792,75.975,500.000000
47.799,75.975,500.000000
48.805,75.975,500.000000
49.811,75.975,500.000000
50.818,75.975,500.000000
51.824,75.975,500.000000
52.830,75.975,500.000000
53.836,75.975,500.000000
54.843,75.975,500.000000
55.849,75.975,500.000000
56.855,75.975,500.000000
57.862,75.975,500.000000
58.868,75.975,500.000000
59.874,75.975,500.000000
60.881,75.975,500.000000
61.887,75.975,500.000000
62.893,75.975,500.000000
63.899,75.975,500.000000
64.906,75.975,500.000000
65.912,75.975,500.000000
66.918,75.975,500.000000
67.925,75.975,500.000000
68.931,75.975,500.000000
69.937,75.975,500.000000
70.943,75.975,500.000000
71.950,75.975,500.000000
72.956,75.975,500.000000
73.962,75.975,500.000000
74.969,75.975,500.000000
75.975,75.975,500.000000
76.981,75.975,500.000000
77.987,75.975,500.000000
78.994,75.975,500.000000
80.000,75.975,500.000000
-80.000,74.969,500.000000
-78.994,74.969,500.000000
-77.987,74.969,500.000000
-76.981,74.969,500.000000
-75.975,74.969,500.000000
-74.969,74.969,500.000000
-73.962,74.969,500.000000
-72.956,74.969,500.000000
-71.950,74.969,500.000000
-70.943,74.969,500.000000
-69.937,74.969,500.000000
-68.931,74.969,500.000000
-67.925,74.969,500.000000
-66.918,74.969,500.000000
-65.912,74.969,500.000000
-64.906,74.969,500.000000
-63.899,74.969,500.000000
-62.893,74.969,500.000000
-61.887,74.969,500.000000
-60.881,74.969,500.000000
-59.874,74.969,500.000000
-58.868,74.969,500.000000
-57.862,74.969,500.000000
-56.855,74.969,500.000000
-55.849,74.969,500.000000
-54.843,74.969,500.000000
-53.836,74.969,500.000000
-52.830,74.969,500.000000
-51.824,74.969,500.000000
-50.818,74.969,500.000000
-49.811,74.969,500.000000
-48.805,74.969,500.000000
-47.799,74.969,500.000000
-46.792,74.969,500.000000
-45.786,74.969,500.000000
-44.780,74.969,500.000000
-43.774,74.969,500.000000
-42.767,74.969,500.000000
-41.761,74.969,500.000000
-40.755,74.969,500.000000
-39.748,74.969,500.000000
-38.742,74.969,500.000000
-37.736,74.969,500.000000
-36.730,74.969,500.000000
-35.723,74.969,500.000000
-34.717,74.969,500.000000
-33.711,74.969,500.000000
-32.704,74.969,500.000000
-31.698,74.969,500.000000
-30.692,74.969,500.000000
-29.686,74.969,500.000000
-28.679,74.969,500.000000
-27.673,74.969,500.000000
-26.667,74.969,500.000000
-25.660,74.969,500.000000
-24.654,74.969,500.000000
-23.648,74.969,500.000000
-22.642,74.969,500.000000
-21.635,74.969,500.000000
-20.629,74.969,500.000000
-19.623,74.969,500.000000
-18.616,74.969,500.000000
-17.610,74.969,500.000000
-16.604,74.969,500.000000
-15.597,74.969,500.000000
-14.591,74.969,500.000000
-13.585,74.969,500.000000
-12.579,74.969,500.000000
-11.572,74.969,10.429064
-10.566,74.969,10.423964
-9.560,74.969,10.418392
-8.553,74.969,10.412852
-7.547,74.969,10.407803
-6.541,74.969,10.403659
-5.535,74.969,10.400785
-4.528,74.969,10.399496
-3.522,74.969,10.400050
-2.516,74.969,10.402655
-1.509,74.969,14.386001
-0.503,74.969,17.699159
0.503,74.969,17.708483
1.509,74.969,14.414162
2.516,74.969,10.449961
3.522,74.969,10.466254
4.528,74.969,10.484589
5.535,74.969,10.504781
6.541,74.969,10.526605
7.547,74.969,10.549815
8.553,74.969,10.574143
9.560,74.969,10.599312
10.566,74.969,10.625051
11.572,74.969,10.651102
12.579,74.969,500.000000
13.585,74.969,500.000000
14.591,74.969,500.000000
15.597,74.969,500.000000
16.604,74.969,500.000000
17.610,74.969,500.000000
18.616,74.969,500.000000
19.623,74.969,500.000000
20.629,74.969,500.000000
21.635,74.969,500.000000
22.642,74.969,500.000000
23.648,74.969,500.000000
24.654,74.969,500.000000
25.660,74.969,500.000000
26.667,74.969,500.000000
27.673,74.969,500.000000
28.679,74.969,500.000000
29.686,74.969,500.000000
30.692,74.969,500.000000
31.698,74.969,500.000000
32.704,74.969,500.000000
33.711,74.969,500.000000
34.717,74.969,500.000000
35.723,74.969,500.000000
36.730,74.969,500.000000
37.736,74.969,500.000000
38.742,74.969,500.000000
39.748,74.969,500.000000
40.755,74.969,500.000000
41.761,74.969,500.000000
42.767,74.969,500.000000
43.774,74.969,500.000000
44.780,74.969,500.000000
45.786,74.969,500.000000
46.792,74.969,500.000000
47.799,74.969,500.000000
48.805,74.969,500.000000
49.811,74.969,500.000000
50.818,74.969,500.000000
51.824,74.969,500.000000
52.830,74.969,500.000000
53.836,74.969,500.000000
54.843,74.969,500.000000
55.849,74.969,500.000000
56.855,74.969,500.000000
57.862,74.969,500.000000
58.868,74.969,500.000000
59.874,74.969,500.000000
60.881,74.969,500.000000
61.887,74.969,500.000000
62.893,74.969,500.000000
63.899,74.969,500.000000
64.906,74.969,500.000000
65.912,74.969,500.000000
66.918,74.969,500.000000
67.925,74.969,500.000000
68.931,74.969,500.000000
69.937,74.969,500.000000
70.943,74.969,500.000000
71.950,74.969,500.000000
72.956,74.969,500.000000
73.962,74.969,500.000000
74.969,74.969,500.000000
75.975,74.969,500.000000
76.981,74.969,500.000000
77.987,74.969,500.000000
78.994,74.969,500.000000
80.000,74.969,500.000000
-80.000,73.962,500.000000
-78.994,73.962,500.000000
-77.987,73.962,500.000000
-76.981,73.962,500.000000
-75.975,73.962,500.000000
-74.969,73.962,500.000000
-73.962,73.962,500.000000
-72.956,73.962,500.000000
-71.950,73.962,500.000000
-70.943,73.962,500.000000
-69.937,73.962,500.000000
-68.931,73.962,500.000000
-67.925,73.962,500.000000
-66.918,73.962,500.000000
-65.912,73.962,500.000000
-64.906,73.962,500.000000
-63.899,73.962,500.000000
-62.893,73.962,500.000000
-61.887,73.962,500.000000
-60.881,73.962,500.000000
-59.874,73.962,500.000000
-58.868,73.962,500.000000
-57.862,73.962,500.000000
-56.855,73.962,500.000000
-55.849,73.962,500.000000
-54.843,73.962,500.000000
-53.836,73.962,500.000000
-52.830,73.962,500.000000
-51.824,73.962,500.000000
-50.818,73.962,500.000000
-49.811,73.962,500.000000
