X(mm),Y(mm),Velocity(mm/s)
0.5031,20.6289,0.100000
4.5283,20.6289,0.100000
8.5535,20.6289,0.100000
12.5786,20.6289,0.100000
16.6038,20.6289,0.100000
20.6289,20.6289,0.100000
24.6541,20.6289,0.100000
28.6792,20.6289,0.100000
32.7044,20.6289,0.100000
36.7296,20.6289,0.100000
40.7547,20.6289,0.100000
44.7799,20.6289,0.100000
48.8050,20.6289,0.100000
52.8302,20.6289,0.100000
56.8553,20.6289,0.100000
60.8805,20.6289,0.100000
64.9057,20.6289,55.600000
68.9308,20.6289,80.036295
72.9560,20.6289,100.000000
76.9811,20.6289,100.000000
-80.0000,16.6038,100.000000
-75.9748,16.6038,100.000000
-71.9497,16.6038,90.006154
-67.9245,16.6038,6.517428
-63.8994,16.6038,0.100000
-59.8742,16.6038,0.100000
-55.8491,16.6038,0.100000
-51.8239,16.6038,0.100000
-47.7987,16.6038,0.100000
-43.7736,16.6038,0.100000
-39.7484,16.6038,0.100000
-35.7233,16.6038,0.100000
-31.6981,16.6038,0.100000
-27.6730,16.6038,0.100000
-23.6478,16.6038,0.100000
-19.6226,16.6038,0.100000
-15.5975,16.6038,0.100000
-11.5723,16.6038,0.100000
-7.5472,16.6038,0.100000
-3.5220,16.6038,0.100000
0.5031,16.6038,0.100000
4.5283,17.3038,100.000000
4.5283,16.6038,0.100000
8.5535,16.6038,0.100000
12.5786,16.6038,0.100000
16.6038,16.6038,0.100000
20.6289,16.6038,0.100000
24.6541,16.6038,0.100000
28.6792,16.6038,0.100000
32.7044,16.6038,0.100000
36.7296,16.6038,0.100000
40.7547,16.6038,0.100000
44.7799,16.6038,0.100000
48.8050,16.6038,0.100000
52.8302,16.6038,0.100000
56.8553,16.6038,0.100000
60.8805,16.6038,77.800000
64.9057,16.6038,66.700000
68.9308,16.6038,60.684516
72.9560,16.6038,94.364683
76.9811,16.6038,100.000000
-80.0000,12.5786,100.000000
-75.9748,12.5786,100.000000
-71.9497,12.5786,80.382535
-67.9245,12.5786,0.823336
-63.8994,12.5786,0.100000
-59.8742,12.5786,0.100000
-55.8491,12.5786,0.100000
-51.8239,12.5786,0.100000
-47.7987,12.5786,0.100000
-43.7736,12.5786,0.100000
-39.7484,12.5786,0.100000
-35.7233,12.5786,0.100000
-31.6981,12.5786,0.100000
-27.6730,12.5786,0.100000
-23.6478,12.5786,0.100000
-19.6226,12.5786,0.100000
-15.5975,12.5786,0.100000
-11.5723,12.5786,0.100000
-7.5472,12.5786,0.100000
-3.5220,12.5786,0.100000
0.5031,12.5786,0.100000
4.5283,12.5786,0.100000
8.5535,12.5786,0.100000
12.5786,12.5786,0.100000
16.6038,12.5786,0.100000
20.6289,12.5786,0.100000
24.6541,12.5786,0.100000
28.6792,12.5786,0.100000
32.7044,12.5786,0.100000
36.7296,12.5786,0.100000
40.7547,12.5786,0.100000
44.7799,13.2786,100.000000
44.7799,12.5786,0.100000
48.8050,12.5786,0.100000
52.8302,12.5786,0.100000
56.8553,12.5786,0.100000
60.8805,12.5786,66.700000
64.9057,12.5786,66.700000
68.9308,12.5786,34.123336
72.9560,12.5786,84.469655
76.9811,12.5786,100.000000
-80.0000,8.5535,100.000000
-75.9748,8.5535,100.000000
-71.9497,8.5535,76.435759
-67.9245,8.5535,0.100000
-63.8994,8.5535,0.100000
-59.8742,8.5535,0.100000
-55.8491,8.5535,0.100000
-51.8239,8.5535,0.100000
-47.7987,8.5535,0.100000
-43.7736,8.5535,0.100000
-39.7484,8.5535,0.100000
-35.7233,8.5535,0.100000
-31.6981,8.5535,0.100000
-27.6730,8.5535,0.100000
-23.6478,8.5535,0.100000
-19.6226,8.5535,0.100000
-15.5975,8.5535,0.100000
-11.5723,8.5535,0.100000
-7.5472,8.5535,0.100000
